match_id,period,time_min,team,player_number,action_type,sub_type,result,start_x,start_y,end_x,end_y,attack_dir,metres_gained,end_metres_from_line,linebreak,possession_id,possession_start_reason,conceded_by,assist_number,phase_id,contact_outcome,freeze_frame
sample,1,0.5,ENG,,kick,,,50.0,35.0,87.2,32.9,1,37.2,12.8,False,1,kickoff,,,,,
sample,1,2.0,ENG,9,carry,,,0.2,35.0,9.8,35.4,1,9.6,90.2,False,2,kick_return,,,,,
sample,1,2.0,ENG,,pass,,,9.8,35.4,9.1,42.7,1,-0.7,90.9,False,2,kick_return,,,,,
sample,1,2.0,ENG,,carry,,,9.1,42.7,20.9,43.1,1,11.8,79.1,False,2,kick_return,,,,,
sample,1,4.0,ENG,,carry,,,0.2,34.8,7.8,35.5,1,7.6,92.2,False,3,lineout,,,,,
sample,1,4.0,ENG,,pass,,,7.8,35.5,7.1,41.4,1,-0.7,92.9,False,3,lineout,,,,,
sample,1,4.0,ENG,,carry,,,7.1,41.4,15.8,42.3,1,8.7,84.2,False,3,lineout,,,,,
sample,1,4.0,ENG,,set_piece,lineout,success,0.2,34.8,,,,,,False,3,lineout,,,,,
sample,1,4.1,ENG,,pass,,,15.8,42.3,15.3,49.6,1,-0.5,84.7,False,3,lineout,,,,,
sample,1,4.1,ENG,,carry,,,15.3,49.6,24.1,50.0,1,8.8,75.9,False,3,lineout,,,,,
sample,1,7.5,ENG,,error,knock_on,fail,3.5,35.1,,,,,,False,3,lineout,,,,,
sample,1,7.5,ENG,,carry,,,0.3,35.1,9.7,35.3,1,9.4,90.3,False,4,scrum,,,,,
sample,1,7.5,ENG,,pass,,,9.7,35.3,9.1,42.4,1,-0.6,90.9,False,4,scrum,,,,,
sample,1,7.5,ENG,,carry,,,9.1,42.4,21.1,43.0,1,12.0,78.9,False,4,scrum,,,,,
sample,1,7.5,ENG,,set_piece,scrum,success,0.3,35.1,,,,,,False,4,scrum,,,,,
sample,1,7.6,ENG,,kick,,,21.1,43.0,60.5,38.1,1,39.4,39.5,False,4,scrum,,,,,
sample,1,12.0,ENG,7,carry,,,85.0,35.1,94.8,35.7,1,9.8,5.2,False,5,turnover_open,,,,,
sample,1,12.0,ENG,3,pass,,,94.8,35.7,94.2,41.4,1,-0.6,5.8,False,5,turnover_open,,,,,
sample,1,12.0,ENG,14,carry,,,94.2,41.4,104.0,41.9,1,9.8,-4.0,True,5,turnover_open,,,,,
sample,1,12.1,ENG,14,try,,,104.0,41.9,,,,,,False,5,turnover_open,,3,,,
sample,1,12.1,ENG,,conversion,,success,,,,,,,,False,5,turnover_open,,,,,
sample,1,18.0,WAL,,kick,,,50.0,35.0,40.2,35.4,-1,9.8,40.2,False,6,restart,,,,,
sample,1,18.0,ENG,,pass,,,40.2,35.4,40.9,42.9,1,0.7,59.1,False,7,kick_return,,,,,
